nces_school_id;school_name;nces_district_id;school_type
0;West Nickel Mines Amish School;0;1
1;Friends of Children Head Start center;0;1
2;Rebound High School;1708370;0
3;Menta Academy North;0;1
4;Esteban Torres High School;622710;0
5;Achievement First Amistad High School;0;1
230704;Catholic Academy of New Haven;0;1
253426;Edmund Burke School;0;1
259508;Episcopal School of Jacksonville;0;1
540385;Saint Francis de Sales School;0;1
600937;St. John's Prep;0;1
645876;Battle Creek Academy;0;1
734676;Cathedral School;0;1
753892;St. James Catholic School;0;1
864049;Sacred Heart School;0;1
1056711;La Salle High School;0;1
1059778;Notre Dame Elementary School;0;1
1060127;Bishop Hartley High School;0;1
1195358;Bishop Neumann Junior-Senior High;0;1
10000800495;Discovery Middle School;100008;0
10009000011;Anniston High School;100090;0
10039000141;Huffman High School;100390;0
10042000205;Blountsville Elementary School;100420;0
10117000429;Decatur High School;101170;0
10162000565;Walnut Park Elementary;101620;0
10171002162;Greensboro High School;101710;0
10237000942;Murphy High School;102370;0
10237000962;LeFlore High School;102370;0
10237000964;CF Vigor High School;102370;0
10243001035;Robert E. Lee High School;102430;0
10243002084;Blount Elementary School;102430;0
10297001160;Selma High School;102970;0
20018000072;Denali Montessori Elementary School;200180;0
40146000077;Carmichael Elementary School;401460;0
40345000284;Independence High School;403450;0
40633001882;Cesar Chavez High School;406330;0
40963002775;Gila Ridge High School;409630;0
50002600867;Pine Bluff High School;500026;0
50729000443;Harmony Grove High School;507290;0
50900000607;Little Rock Central High School;509000;0
51182000899;Prescott High School;511820;0
51393001212;Watson Chapel Junior High;513930;0
60003206330;Redondo Union High School;600032;0
60003907541;Delhi Middle School;600039;0
60282009515;Highland High School;602820;0
60285000207;Antioch High School;602850;0
60750000711;Kelly Elementary School;607500;0
60846000845;Newman Elementary School;608460;0
60978004178;Rancho Tehama Elementary School;609780;0
61233007702;Rio Cazadero High School;612330;0
61455001762;Roosevelt High School;614550;0
61623002020;Granite Hills High School;616230;0
61623002026;Santana High School;616230;0
61674002125;John Muir Elementary School;616740;0
61785002199;E.O. Green Junior High School;617850;0
62271003034;Gardena High School;622710;0
62271003052;Ulysses S. Grant High School;622710;0
62271003087;Hollenbeck Middle School;622710;0
62271003364;South Gate High School;622710;0
62271003429;Venice High School;622710;0
62271007751;Belmont High School;622710;0
62271012483;Salvador B. Castro Middle School;622710;0
62460009581;Alicia Reyes Elementary School;624600;0
62553003843;Seaside High School;625530;0
62805004278;Madison Park Academy;628050;0
62805007326;Rudsdale High School;628050;0
62805012992;Castlemont High School;628050;0
62922009598;McAuliffe Elementary School;629220;0
62927004519;Hueneme High School;629270;0
63078004786;Louisiana Schnell Elementary School;630780;0
63255005018;De Anza High School;632550;0
63384005261;New Joseph Bonnheim Community Charter School;633840;0
63398005332;Alisal High School;633980;0
63417005375;North Park Elementary School;634170;0
63441011252;June Jordan High School for Equity;634410;0
63583006130;Ridgway High School;635830;0
63873006511;Taft Union High School;638730;0
64059009648;Will C. Wood High School;640590;0
64074006734;John Finney High School;640740;0
64251006961;Saugus High School;642510;0
80234000064;Hinkley High School;802340;0
80237000087;Platte Canyon High School;802370;0
80336000338;East High School;803360;0
80345006493;STEM School Highlands Ranch;803450;0
80480000707;Columbine High School;804800;0
80480001315;Deer Creek Middle School;804800;0
80531000873;Arapahoe High School;805310;0
80615001357;Liberty Point International School;806150;0
80723001239;Ranum High School;807230;0
90003101405;Stamford Academy;900031;0
90045001161;Paul Laurence Dunbar School;900450;0
90291000617;Sandy Hook Elementary School;902910;0
100023000209;William Penn High School;1000230;0
100162000141;Smyrna Middle School;1001620;0
110003000008;Roosevelt High School;1100030;0
110003000082;Cardozo High School;1100030;0
110003000084;Ballou High School;1100030;0
110003000122;Aiton Elementary School;1100030;0
110003000182;Hendley Elementary School;1100030;0
120018000169;Dillard High School;1200180;0
120018002721;Marjory Stoneman Douglas High School;1200180;0
120027002425;Lecanto High School;1200270;0
120039000578;Redland Middle School;1200390;0
120039005495;Stellar Leadership Academy;1200390;0
120039007984;North Gardens High School;1200390;0
120048000691;Ribault High School;1200480;0
120048000698;Saint Clair Evans Academy;1200480;0
120048004192;Sojourner Truth High School;1200480;0
120087003862;George S. Middleton High School;1200870;0
120126001271;Forest High School;1201260;0
120129008739;Treasure Cost Classical Academy;1201290;0
120144001454;West Orange High School;1201440;0
120144003884;Sheeler Charter High School;1201440;0
120150002783;Alexander W. Dreyfoos School of Arts;1201500;0
120150002873;Lake Worth Middle School;1201500;0
120153001590;Ridgewood High School;1201530;0
120171001868;Milwee Middle School;1201710;0
120171001872;Seminole High School;1201710;0
130012000060;Price Middle School;1300120;0
130012001865;Benjamin Elijah Mays High School;1300120;0
130102000413;Groves High School;1301020;0
130123000473;Jonesboro High School;1301230;0
130138002640;Vereen School;1301380;0
130162000786;Dalton High School;1301620;0
130174002537;Lithonia High School;1301740;0
130174003766;Ronald E. McNair Discovery Learning Academy;1301740;0
130228000967;Benjamin Banneker High School;1302280;0
130438004230;W.S. Hornsby Elementary School;1304380;0
130441001591;Heritage High School;1304410;0
150003000186;President Theodore Roosevelt High;1500030;0
160157001061;Rigby Middle School;1601570;0
170010905367;Ridgeview Jr. High School;1700109;0
170492000182;Ball Elementary School;1704920;0
170993000709;Walt Disney Magnet School;1709930;0
170993000748;Duke Ellington Elementary School;1709930;0
170993000851;Harlan Community Academy High School;1709930;0
170993000943;Chicago Vocational Career Academy;1709930;0
170993000957;James McDade Classical School;1709930;0
170993001061;Wendell Phillips Academy High School;1709930;0
170993001166;Warren Elementary School;1709930;0
170993005072;Bowen High School;1709930;0
171233001481;Dixon High School;1712330;0
172505002734;Mattoon High School;1725050;0
172862003002;Normal Community High School;1728620;0
173123003295;Woodruff High School;1731230;0
173291003406;Proviso East High School;1732910;0
173451003599;Auburn High School;1734510;0
173897003955;Thornton Township High School;1738970;0
180387000637;Lew Wallace High School;1803870;0
180387000649;Wirt High School;1803870;0
180567001032;Mary Evelyn Castle Elementary School;1805670;0
180651001136;Martinsville West Middle;1806510;0
180660001162;Northridge Middle School;1806600;0
180765000639;Noblesville West Middle School;1807650;0
180951001555;Dennis Intermediate School;1809510;0
181059001739;South Vermillion High School;1810590;0
190897000528;East High School;1908970;0
201014000040;Olathe East High School;2010140;0
201164001534;Highlands Elementary School;2011640;0
210135000271;Latonia Elementary School;2101350;0
210299000628;Fern Creek High School;2102990;0
210381000976;Marshall County High School;2103810;0
220018802340;The NET Charter High School;2200188;0
220027702434;Booker T. Washington High School;2200277;0
220030000208;Booker T. Washington High School;2200300;0
220033000252;Moss Bluff Elementary School;2200330;0
220054000422;Scotlandville Middle School;2200540;0
220054000423;Scotlandville Magnet High School;2200540;0
220090000711;Larose-Cut Off Middle School;2200900;0
220108001296;Monroe City Alternative Center;2201080;0
220117000928;John McDonogh High School;2201170;0
220117000973;Booker T. Washington High School;2201170;0
220117000980;Carter G. Woodson Middle School;2201170;0
240009000209;Frederick Douglass High School;2400090;0
240009000236;Achievement Academy;2400090;0
240009000263;Lake Clifton Eastern High School;2400090;0
240009000280;Mergenthaler Vocational Technical High School;2400090;0
240009001561;Thurgood Marshall High School;2400090;0
240012000446;Perry Hall High School;2400120;0
240048000808;Magruder High School;2400480;0
240051000982;Benjamin Tasker Middle School;2400510;0
240051001164;Suitland High School;2400510;0
240060001224;Great Mills High School;2400600;0
250279000225;Dorchester High School;2502790;0
250279000261;Jeremiah E. Burke High School;2502790;0
260019501104;International Academy of Flint K12;2600195;0
260021001494;Michigan Collegiate High School;2600210;0
260111708862;Flex High School;2601117;0
260426004113;Bay City Western High School;2604260;0
260450004135;Buell Elementary School;2604500;0
260804000994;Caro Learning Center;2608040;0
261200004670;Central High School;2612000;0
261428008350;Tri-County Education Center;2614280;0
261962005629;Jackson High School;2619620;0
262115008414;Pattengill Academy;2621150;0
262382006068;Herbert Henry Dow High School;2623820;0
262540000932;Aspen Ridge Elementary School;2625400;0
262724006338;Oxford High School;2627240;0
263039006677;Saginaw High School;2630390;0
270002502871;South Education Center;2700025;0
270944000388;Rocori High School;2709440;0
271878000880;Mankato West High School;2718780;0
272124004557;North High School;2721240;0
273051001303;Red Lake High School;2730510;0
273178001333;Ply_mouth Middle School;2731780;0
