uid;uid_incident;TypeShooter1_uid;TypeShooter2_uid
1;1;92;187
2;2;30;187
3;3;43;187
4;4;80;187
5;5;178;187
6;6;8;187
7;7;16;187
8;8;60;187
9;9;20;187
10;10;7;187
11;11;178;187
12;12;106;187
13;13;1;79
14;14;143;204
15;15;147;187
16;16;17;187
17;17;18;187
18;18;31;205
19;19;21;187
20;20;75;187
21;21;107;187
22;22;32;208
23;23;43;187
24;24;25;187
25;25;93;187
26;26;81;187
27;27;31;187
28;28;61;187
29;29;178;187
30;30;138;187
31;31;62;187
32;32;82;187
33;33;80;187
34;34;80;206
35;35;167;187
36;36;46;187
37;37;149;187
38;38;179;187
39;39;31;187
40;40;46;187
41;41;107;187
42;42;178;187
43;43;26;187
44;44;114;187
45;45;60;187
46;46;43;187
47;47;21;187
48;48;180;187
49;49;88;187
50;50;60;187
51;51;98;187
52;52;181;187
53;53;167;187
54;54;179;187
55;55;62;187
56;56;134;187
57;57;135;187
58;58;38;187
59;59;181;187
60;60;63;187
61;61;52;187
62;62;153;187
63;63;156;187
64;64;31;187
65;65;178;187
66;66;46;187
67;67;76;187
68;68;46;187
69;69;43;187
70;70;94;187
71;71;94;187
72;72;173;187
73;73;108;187
74;74;31;187
75;75;62;187
76;76;121;187
77;77;27;187
78;78;27;187
79;79;115;187
80;80;101;187
81;81;182;73
82;82;161;187
83;83;43;187
84;84;140;187
85;85;19;187
86;86;93;187
87;87;62;187
88;88;178;187
89;89;77;187
90;90;46;187
91;91;46;187
92;92;31;187
93;93;83;187
94;94;33;187
95;95;178;187
96;96;53;187
97;97;62;187
98;98;165;187
99;99;80;187
100;100;31;187
101;101;122;187
102;102;146;187
103;103;46;187
104;104;39;187
105;105;84;187
106;106;172;187
107;107;181;187
108;108;47;187
109;109;62;187
110;110;62;204
111;111;136;187
112;112;174;187
113;113;131;187
114;114;24;187
115;115;141;187
116;116;40;187
117;117;46;187
118;118;183;187
119;119;27;187
120;120;178;187
121;121;148;187
122;122;44;187
123;123;68;187
124;124;80;187
125;125;151;187
126;126;45;187
127;127;69;187
128;128;1;187
129;129;46;187
130;130;183;187
131;131;93;187
132;132;31;187
133;133;6;187
134;134;78;187
135;135;132;187
136;136;54;187
137;137;158;187
138;138;43;187
139;139;27;187
140;140;111;187
141;141;181;187
142;142;60;187
143;143;46;187
144;144;80;187
145;145;7;187
146;146;112;187
147;147;88;187
148;148;185;187
149;149;58;187
150;150;9;187
151;151;5;187
152;152;71;187
153;153;92;187
154;154;53;187
155;155;10;187
156;156;181;187
157;157;71;187
158;158;88;187
159;159;183;91
160;160;82;187
161;161;69;187
162;162;150;187
163;163;181;187
164;164;70;187
165;165;44;187
166;166;181;187
167;167;53;187
168;168;46;187
169;169;42;187
170;170;157;187
171;171;62;187
172;172;179;187
173;173;60;187
174;174;118;187
175;175;179;187
176;176;46;187
177;177;80;187
178;178;64;187
179;179;48;187
180;180;27;187
181;181;99;187
182;182;34;187
183;183;28;187
184;184;55;187
185;185;178;187
186;186;178;187
187;187;31;187
188;188;159;187
189;189;43;187
190;190;76;187
191;191;31;187
192;192;160;187
193;193;4;187
194;194;179;187
195;195;168;187
196;196;89;187
197;197;43;187
198;198;27;187
199;199;115;187
200;200;181;187
201;201;152;187
202;202;116;187
203;203;198;187
204;204;60;187
205;205;181;187
206;206;43;187
207;207;53;187
208;208;12;187
209;209;103;187
210;210;162;187
211;211;71;187
212;212;175;56
213;213;182;187
214;214;187;187
215;215;79;187
216;216;109;187
217;217;46;187
218;218;31;187
219;219;104;187
220;220;76;187
221;221;21;187
222;222;144;187
223;223;53;187
224;224;127;187
225;225;187;187
226;226;95;187
227;227;53;187
228;228;137;187
229;229;33;187
230;230;139;187
231;231;125;187
232;232;62;187
233;233;128;187
234;234;53;187
235;235;166;187
236;236;35;187
237;237;187;187
238;238;59;187
239;239;60;187
240;240;187;187
241;241;187;187
242;242;187;187
243;243;129;187
244;244;145;187
245;245;187;187
246;246;85;187
247;247;187;187
248;248;61;187
249;249;176;187
250;250;176;187
251;251;120;187
252;252;187;187
253;253;169;187
254;254;52;187
255;255;187;187
256;256;191;187
257;257;49;187
258;258;187;187
259;259;164;187
260;260;96;187
261;261;201;187
262;262;13;187
263;263;41;187
264;264;163;187
265;265;72;187
266;266;41;187
267;267;105;187
268;268;187;187
269;269;187;187
270;270;11;187
271;271;155;187
272;272;41;187
273;273;142;207
274;274;200;187
275;275;188;187
276;276;187;187
277;277;113;187
278;278;187;187
279;279;100;187
280;280;124;187
281;281;187;95
282;282;187;187
283;283;65;187
284;284;186;187
285;285;73;187
286;286;189;187
287;287;22;187
288;288;36;187
289;289;41;187
290;290;49;187
291;291;49;187
292;292;190;187
293;293;49;187
294;294;179;187
295;295;22;187
296;296;126;187
297;297;90;187
298;298;187;187
299;299;187;187
300;300;187;187
301;301;187;187
302;302;67;187
303;303;50;187
304;304;43;187
305;305;170;187
306;306;23;187
307;307;154;187
308;308;187;187
309;309;117;187
310;310;187;187
311;311;181;187
312;312;191;187
313;313;50;187
314;314;56;187
315;315;57;187
316;316;86;187
317;317;187;187
318;318;90;187
319;319;187;187
320;320;87;187
321;321;14;187
322;322;37;187
323;323;102;187
324;324;202;187
325;325;191;187
326;326;50;187
327;327;91;187
328;328;5;187
329;329;110;187
332;332;191;187
333;333;5;187
334;334;193;187
335;335;187;187
336;336;191;187
337;337;192;187
338;338;193;187
339;339;203;187
340;340;123;187
342;342;86;187
343;343;194;187
344;344;86;187
345;345;171;187
347;347;202;187
348;348;187;187
349;349;199;187
350;350;86;187
351;351;177;187
352;352;179;187
353;353;187;187
354;354;86;187
355;355;187;187
356;356;100;187
357;357;37;187
358;358;187;187
359;359;195;187
360;360;50;187
361;361;67;187
362;362;187;187
363;363;3;187
364;364;15;187
365;365;51;187
366;366;67;187
367;367;191;187
368;368;187;187
369;369;190;187
370;370;196;187
371;371;187;187
372;372;187;50
373;373;187;187
374;374;187;187
375;375;187;187
376;376;187;187
377;377;187;187
378;378;179;187
379;379;74;187
380;380;133;187
381;381;191;187
382;382;197;187
383;383;97;187
384;384;37;187
385;385;130;187
386;386;191;187
387;387;187;187
388;388;95;187
389;389;50;187
390;390;203;187
391;391;119;187
