uid,city
1,Aiken
2,Albemarle
3,Albuquerque
4,Alpine
5,Amarillo
6,Anchorage
7,Anniston
8,Antioch
9,Apopka
10,Arlington
11,Atlanta
12,Auburn
13,Augusta
14,Aurora
15,Austin
16,Aztec
17,Bailey
18,Ball
19,Baltimore
20,Baton Rouge
21,Battle Creek
22,Bellaire
23,Bend
24,Benton
25,Birmingham
26,Blountsville
27,Blountville
28,Boston
29,Bountiful
30,Bowie
31,Bremerton
32,Bridgeport
33,Bronx
34,Brooklyn
35,Brownsville
36,Camden
37,Canton
38,Carbondale
39,Carlsbad
40,Caro
41,Carthage
42,Cazenovia
43,Centennial
44,Chapel Hill
45,Chardon
46,Charlotte
47,Chesapeake
48,Chesterfield
49,Chicago
50,China Grove
51,Chino
52,Cincinnati
53,Clayton County
54,Cleveland
55,Clinton
56,Cold Spring
57,College Park
58,Columbia
59,Columbus
60,Conway
61,Conyers
62,Corning
63,Covington
64,Dalhart
65,Dallas
66,Dalton
67,Danvers
68,Decatur
69,Delhi
70,Deming
71,Denver
72,Des Moines
73,Detroit
74,Dixon
75,Dorchester
76,East Greenbush
77,El Cajon
78,Ennis
79,Erie
80,Eugene
81,Europa
82,Farmington
83,Fayetteville
84,Ferndale
85,Flint
86,Forestville
87,Fort Gibson
88,Fort Lauderdale
89,Fort Myers
90,Fort Worth
91,Fresno
92,Fuquay-Varina
93,Gadsden
94,Garden City
95,Garland
96,Gary
97,Geary
98,Glen Allen
99,Glendale
100,Great Mills
101,Greensboro
102,Greenville
103,Gresham
104,Harrisburg
105,Harvey
106,Hayward
107,Hendersonville
108,Hettinger County
109,High Point
110,Highlands Ranch
111,Hillsborough
112,Homestead
113,Honolulu
114,Horn Lake
115,Houma
116,Houston
117,Hugo
118,Indianapolis
119,Italy
120,Jacksboro
121,Jackson
122,Jacksonville
123,Jersey City
124,Joplin
125,Kansas City
126,Knoxville
127,Lacey
128,Lake Charles
129,Lake Worth
130,Lancaster
131,Lansing
132,Larose
133,Las Vegas
134,Laveen
135,Lavergne
136,Lawndale
137,Lecanto
138,Leland
139,Liberty
140,Lithonia
141,Little Rock
142,Littleton
143,Longwood
144,Los Angeles
145,Los Fresnos
146,Louisville
147,Lowellville
148,Lower Allen Township
149,Madison
150,Mankoto
151,Marinette
152,Martinsville
153,Marysville
154,Matthews
155,Mattituck
156,Mattoon
157,Maywood
158,Memphis
159,Merced
160,Mexia
161,Miami
162,Miami Gardens
163,Middlebury
164,Middletown
165,Midland
166,Milwaukee
167,Minneapolis
168,Mission
169,Missoula
170,Mobile
171,Monroe
172,Montgomery
173,Moultrie
174,Mount Healthy
175,Mount Morris Township
176,Mount Vernon
177,Nashville
178,Natchez
179,New Castle
180,New Haven
181,New Orleans
182,New Port Richey
183,New York
184,New York City
185,Newport News
186,Newtown
187,Nickel Mines
188,Noblesville
189,Normal
190,North Las Vegas
191,Oakland
192,Ocala
193,Olathe
194,Omaha
195,Ontario
196,Orangeburg
197,Oshkosh
198,Oxford
199,Oxnard
200,Palmdale
201,Parkland
202,Pasadena
203,Peoria
204,Philadelphia
205,Pickerington
206,Pine Bluff
207,Pine Hills
208,Pittsburgh
209,Placerville
210,Ply_mouth
211,Portland
212,Portsmouth
213,Poughkeepsie
214,Prescott
215,Prichard
216,Providence
217,Pueblo West
218,Raytown
219,Red Lake
220,Red Lion
221,Redondo Beach
222,Reno
223,Renton
224,Richfield
225,Richmond
226,Rigby
227,Rio Rancho
228,Rochester
229,Rockford
230,Rockville
231,Roseburg
232,Roseville
233,Roswell
234,Sacramento
235,Saginaw
236,Salinas
237,Salisbury
238,Salt Lake City
239,San Antonio
240,San Bernardino
241,San Francisco
242,Sandy
243,Sanford
244,Santa Fe
245,Santa Rosa
246,Santee
247,Saugus
248,Seaside
249,Seattle
250,Selma
251,Shreveport
252,Sierra Vista
253,Smyrna
254,South Gate
255,Sparks
256,Spokane
257,St. Louis
258,Stamford
259,Staten Island
260,Stuart
261,Tacoma
262,Taft
263,Tampa
264,Taylorsville
265,Tecumseh
266,Townville
267,Troutdale
268,Uvalde
269,Vacaville
270,Vallejo
271,Vicksburg
272,Walpole
273,Ware Shoals
274,Warren
275,Washington
276,Waukegan
277,Waukesha
278,West Ishpeming
279,West Liberty
280,West Palm Beach
281,Westminster
282,Weston
283,Williamsport
284,Wilmington
285,Winston-Salem
286,Winter Garden
287,Woodbridge
288,Yakima
289,Yuma
