nces_district_id,district_name
0,Null
100008,Madison City
100090,Anniston City
100390,Birmingham City
100420,Blount County
101170,Decatur City
101620,Gadsden City
101710,Hale County
102370,Mobile County
102430,Montgomery County
102970,Selma City Schools
200180,Anchorage School District
401460,Sierra Vista Unified District
403450,Glendale Union High School District
406330,Phoenix Union High School District (4286)
409630,Yuma Union High School District
500026,Pine Bluff School District
507290,Harmony Grove School District
509000,Little Rock School District
511820,Prescott School District
513930,Watson Chapel School District
600032,Redondo Beach Unified
600039,Delhi Unified
602820,Antelope Valley Union High
602850,Antioch Unified
607500,Carlsbad Unified
608460,Chino Valley Unified
609780,Corning Union Elementary
612330,Elk Grove Unified
614550,Fresno Unified
616230,Grossmont Union High
616740,Hayward Unified
617850,Hueneme Elementary
622710,Los Angeles Unified
624600,Merced City Elementary
625530,Monterey Peninsula Unified
628050,Oakland Unified
629220,Oxnard
629270,Oxnard Union High
630780,Placerville Union Elementary
632550,West Contra Costa Unified
633840,Sacramento City Unified
633980,Salinas Union High
634170,San Bernardino City Unified
634410,San Francisco Unified
635830,Santa Rosa High
638730,Taft Union High
640590,Vacaville Unified
640740,Vallejo City Unified District
642510,William S. Hart Union High
802340,Aurora Joint District NO. 28 Of The Counties Of Adams And Arapahoe
802370,Platte Canyon School District No. 1 Of The County Of Park
803360,School District NO. 1 In The County Of Denver And State Of Colorado
803450,Douglas County School District NO. Re 1
804800,Jefferson County R-1
805310,Littleton School District No. 6 In The County Of Arapahoe
806150,Pueblo County School District 70
807230,Westminster 50
900031,Stamford Academy
900450,Bridgeport School District
902910,Newtown School District
1000230,Colonial School District
1001620,Smyrna School District
1100030,District Of Columbia Pub Schls
1200180,Broward
1200270,Citrus
1200390,Miami-Dade School District
1200480,Duval County School District
1200870,Hillsborough
1201260,Marion
1201290,Martin District
1201440,Orange
1201500,Palm Beach County School District
1201530,Pasco
1201710,Seminole County School District
1300120,Atlanta Public Schools
1301020,Chatham County
1301230,Clayton County School District
1301380,Colquitt County
1301620,Dalton City
1301740,Dekalb County
1302280,Fulton County
1304380,Richmond County
1304410,Rockdale County
1500030,Hawaii Department Of Education
1601570,Jefferson County Joint District
1700109,Ridgeview Cusd 19
1704920,Ball Chatham Cusd 5
1708370,Carbondale CHSD 165
1709930,City of Chicago School District 299
1712330,Dixon USD 170
1725050,Mattoon CUSD 2
1728620,Mclean County USD 5
1731230,Peoria School District 150
1732910,Proviso Twp H S Dist 209
1734510,Rockford Sd 205
1738970,Thornton Twp Hsd 205
1803870,Gary Community School Corp
1805670,Metropolitan School District of Lawrence Township
1806510,M S D Martinsville Schools
1806600,Middlebury Community Schools
1807650,Noblesville Schools
1809510,Richmond Community Schools
1810590,South Vermillion Com Sch Corp
1908970,Des Moines Public Schools
2010140,Olathe School District
2011640,Shawnee Mission Pub Sch
2101350,Covington Independent
2102990,Jefferson County
2103810,Marshall County
2200188,Rsd-educators For Quality Alternatives
2200277,Kipp Booker T Washington
2200300,Caddo Parish
2200330,Calcasieu Parish
2200540,East Baton Rouge Parish School Board
2200900,Lafourche Parish
2201080,City of Monroe School Board
2201170,Orleans Parish School Board
2400090,Baltimore City Public Schools District
2400120,Baltimore County Public Schools
2400480,Montgomery County Public Schools
2400510,Prince George's County Public Schools
2400600,St. Mary's County Public Schools
2502790,Boston Public Schools Library and Media Services
2600195,International Academy of Flint
2600210,Conner Creek Academy East
2601117,Flex High School Of Michigan
2604260,Bay City School District
2604500,Beecher Community School District
2608040,Caro Community Schools
2612000,Detroit City School District
2614280,Ferndale Public Schools
2619620,Jackson Public Schools
2621150,Lansing Public School District
2623820,Midland Public Schools
2625400,Nice Community School District
2627240,Oxford Community Schools
2630390,Saginaw City School District
2700025,Intermediate School District 287
2709440,Rocori
2718780,Mankoto Public School District
2721240,Minneapolis Public School District
2730510,Red Lake
2731780,Robbinsdale Area Schools
2801320,Desoto County School District
2803150,Newton County School District
2803600,Philadelphia Public School Dis
2804470,Vicksburg Warren School Dist
2804560,Webster Co School Dist
