uid;nces_district_id;city;state_fips;county_fips;ulocale
1;100008;149;1;1089;5
2;100090;7;1;1015;3
3;100390;25;1;1073;2
4;100420;26;1;1009;11
5;101170;68;1;1103;3
6;101620;93;1;1055;3
7;101710;101;1;1065;11
8;102370;170;1;1097;2
9;102370;215;1;1097;4
10;102430;172;1;1101;10
11;102970;250;1;1047;8
12;200180;6;2;2020;1
13;401460;252;4;4003;3
14;403450;99;4;4013;4
15;406330;134;4;4013;1
16;409630;289;4;4027;10
17;500026;206;5;5069;3
18;507290;36;5;5103;11
19;509000;141;5;5119;2
20;511820;214;5;5099;10
21;513930;206;5;5069;10
22;600032;221;6;6037;4
23;600039;69;6;6047;6
24;602820;200;6;6037;4
25;602850;8;6;6013;4
26;607500;39;6;6073;2
27;608460;51;6;6071;3
28;609780;62;6;6103;12
29;612330;234;6;6067;4
30;614550;91;6;6019;1
31;616230;246;6;6073;4
32;616230;77;6;6073;4
33;616740;106;6;6001;2
34;617850;199;6;6111;2
35;622710;144;6;6037;1
36;622710;254;6;6037;4
37;622710;144;6;6037;3
38;624600;159;6;6047;3
39;625530;248;6;6053;5
40;628050;191;6;6001;1
41;628050;191;6;6001;1
42;628050;191;6;6001;1
43;629220;199;6;6111;2
44;629270;199;6;6111;2
45;630780;209;6;6017;8
46;632550;225;6;6013;4
47;633840;234;6;6067;1
48;633980;236;6;6053;2
49;634170;240;6;6071;2
50;634410;241;6;6075;1
51;635830;245;6;6097;2
52;638730;262;6;6029;8
53;640590;269;6;6095;6
54;640740;270;6;6095;2
55;642510;247;6;6037;4
56;802340;14;8;8005;1
57;802370;17;8;8093;12
58;803360;71;8;8031;1
59;803450;110;8;8035;4
60;804800;142;8;8059;4
61;805310;43;8;8005;4
62;806150;217;8;8101;5
63;807230;281;8;8001;4
64;900031;258;9;9001;2
65;900450;32;9;9001;2
66;902910;186;9;9001;5
67;1000230;179;10;10003;4
68;1001620;253;10;10001;10
69;1100030;275;11;11001;1
70;1200180;88;12;12011;2
71;1200180;201;12;12011;4
72;1200270;137;12;12017;10
73;1200390;112;12;12086;10
74;1200390;161;12;12086;4
75;1200390;162;12;12086;4
76;1200480;122;12;12031;1
77;1200480;122;12;12031;1
78;1200480;122;12;12031;1
79;1200480;122;12;12031;1
80;1200870;263;12;12057;1
81;1201260;192;12;12083;5
82;1201290;260;12;12085;4
83;1201440;9;12;12065;4
84;1201440;286;12;12095;4
85;1201500;129;12;12099;4
86;1201500;280;12;12099;2
87;1201530;182;12;12101;4
88;1201710;143;12;12117;4
89;1201710;243;12;12117;3
90;1300120;11;13;13121;1
91;1300120;11;13;13121;1
92;1301020;94;13;13051;5
93;1301230;53;13;13063;4
94;1301380;173;13;13071;10
95;1301620;66;13;13313;3
96;1301740;68;13;13089;4
97;1301740;140;13;13089;4
98;1302280;57;13;13121;4
99;1302280;57;13;13121;4
100;1304380;13;13;13245;2
101;1304410;61;13;13247;4
102;1500030;113;15;15003;1
103;1601570;226;16;16051;10
104;1700109;205;17;17113;11
105;1704920;18;17;17167;10
106;1708370;38;17;17077;3
107;1709930;49;17;17031;1
108;1709930;49;17;17031;1
109;1709930;49;17;17031;1
110;1709930;49;17;17031;1
111;1709930;49;17;17031;1
112;1709930;49;17;17031;1
113;1709930;49;17;17031;1
114;1709930;49;17;17031;1
115;1712330;74;17;17103;8
116;1725050;156;17;17029;8
117;1728620;189;17;17113;10
118;1731230;203;17;17143;2
119;1732910;157;17;17031;4
120;1734510;229;17;17201;2
121;1738970;105;17;17031;4
122;1803870;96;18;18089;3
123;1803870;96;18;18089;3
124;1805670;118;18;18097;1
125;1806510;152;18;18109;7
126;1806600;163;18;18039;10
127;1807650;188;18;18057;4
128;1809510;225;18;18177;8
129;1810590;55;18;18165;7
130;1908970;72;19;19153;2
131;2010140;193;20;20091;4
132;2011640;168;20;20091;4
133;2101350;63;21;21117;4
134;2102990;146;21;21111;1
135;2103810;24;21;21157;11
136;2200188;181;22;22071;1
137;2200277;181;22;22071;1
138;2200300;251;22;22017;2
139;2200330;128;22;22019;10
140;2200540;20;22;22033;2
141;2200540;20;22;22033;2
142;2200900;132;22;22057;10
143;2201080;171;22;22073;3
144;2201170;181;22;22071;1
145;2201170;181;22;22071;1
146;2201170;181;22;22071;1
147;2400090;19;24;24510;1
148;2400090;19;24;24510;1
149;2400090;19;24;24510;1
150;2400090;19;24;24510;1
151;2400090;19;24;24510;1
152;2400120;19;24;24005;4
153;2400480;230;24;24031;10
154;2400510;30;24;24033;4
155;2400510;86;24;24033;4
156;2400600;100;24;24037;6
157;2502790;28;25;25025;1
158;2502790;75;25;25025;1
159;2600195;85;26;26049;3
160;2600210;274;26;26099;2
161;2601117;85;26;26049;3
162;2604260;12;26;26017;6
163;2604500;175;26;26049;4
164;2608040;40;26;26157;8
165;2612000;73;26;26163;1
166;2612000;73;26;26163;1
167;2614280;84;26;26125;4
168;2619620;121;26;26075;3
169;2621150;131;26;26065;2
170;2623820;165;26;26111;7
171;2625400;278;26;26103;10
172;2627240;198;26;26125;4
173;2630390;235;26;26145;3
174;2700025;224;27;27053;4
175;2709440;56;27;27145;7
176;2718780;150;27;27013;3
177;2721240;167;27;27053;1
178;2730510;219;27;27007;12
179;2731780;210;27;27053;3
180;2801320;114;28;28033;4
181;2803150;68;28;28101;11
182;2803600;204;28;28099;9
183;2804470;271;28;28149;8
184;2804560;81;28;28155;12
185;2911910;82;29;29187;8
186;2916350;124;29;29097;3
187;2916400;218;29;29095;1
188;2929280;257;29;29510;1
189;3018540;169;30;30063;3
190;3173740;194;31;31055;1
191;3200060;190;32;32003;4
192;3200060;133;32;32003;1
193;3200060;133;32;32003;4
194;3200480;222;32;32031;2
195;3200480;255;32;32031;4
196;3302990;272;33;33005;11
197;3407830;123;34;34017;1
198;3500010;227;35;35043;10
199;3500060;3;35;35001;1
200;3500060;3;35;35001;1
201;3500117;3;35;35001;1
202;3500150;16;35;35045;7
203;3500690;70;35;35029;9
204;3502250;233;35;35005;10
205;3600021;155;36;36103;7
206;3600090;33;36;36005;1
207;3600103;259;36;36085;1
208;3601065;34;36;36047;1
209;3601085;183;36;36061;1
210;3609630;76;36;36083;4
211;3620100;176;36;36119;4
212;3620580;184;36;36061;1
213;3623760;213;36;36027;3
214;3624750;228;36;36055;2
215;3630330;195;36;36117;4
216;3700011;83;37;37051;10
217;3700012;102;37;37147;10
218;3700122;46;37;37119;1
219;3700420;138;37;37019;5
220;3700720;44;37;37135;3
221;3700900;136;37;37045;7
222;3701500;285;37;37067;2
223;3701500;285;37;37067;2
224;3701920;109;37;37081;2
225;3702100;107;37;37089;4
226;3702970;46;37;37119;1
227;3702970;46;37;37119;1
228;3702970;46;37;37119;1
229;3702970;154;37;37119;4
230;3702970;46;37;37119;1
231;3703330;284;37;37129;2
232;3703480;111;37;37135;10
233;3704050;237;37;37159;5
234;3704050;50;37;37159;10
235;3704320;2;37;37167;8
236;3704720;92;37;37183;4
237;3800046;108;38;38041;12
238;3904375;52;39;39061;1
239;3904378;54;39;39035;1
240;3904380;59;39;39049;1
241;3904380;59;39;39049;1
242;3904380;59;39;39049;1
243;3904441;174;39;39061;4
244;3904612;164;39;39017;10
245;3904621;279;39;39021;11
246;3904718;45;39;39055;7
247;3904833;147;39;39099;4
248;4011970;87;40;40101;8
249;4012570;97;40;40011;12
250;4015210;117;40;40023;9
251;4029610;265;40;40125;8
252;4101980;23;41;41017;3
253;4102040;80;41;41039;2
254;4106000;103;41;41051;4
255;4110040;211;41;41051;1
256;4110520;267;41;41051;4
257;4110710;231;41;41019;9
258;4200078;204;42;42101;1
259;4209300;79;42;42049;3
260;4213140;130;42;42071;3
261;4218990;204;42;42101;1
262;4218990;204;42;42101;1
263;4218990;204;42;42101;1
264;4218990;204;42;42101;1
265;4218990;204;42;42101;1
266;4219170;208;42;42003;1
267;4219170;208;42;42003;1
268;4219170;208;42;42003;1
269;4219170;208;42;42003;1
270;4220100;220;42;42133;5
271;4225830;148;42;42041;4
272;4400900;216;44;44007;2
273;4500720;1;45;45003;4
274;4500870;266;45;45007;11
275;4501560;48;45;45025;11
276;4502310;102;45;45045;10
277;4502370;273;45;45047;11
278;4502490;60;45;45051;10
279;4502490;60;45;45051;5
280;4503360;58;45;45079;2
281;4503910;196;45;45075;8
282;4631350;104;46;46083;10
283;4700148;158;47;47157;1
284;4700148;158;47;47157;1
285;4700420;120;47;47013;8
286;4702100;120;47;47089;10
287;4702220;126;47;47093;2
288;4702220;126;47;47093;2
289;4702220;126;47;47093;2
290;4702580;121;47;47113;10
291;4702940;158;47;47157;1
292;4702940;158;47;47157;1
293;4703180;177;47;47037;1
294;4703690;135;47;47149;4
295;4703990;27;47;47163;10
296;4800209;116;48;48201;4
297;4807950;4;48;48043;9
298;4808130;5;48;48375;2
299;4808700;10;48;48439;1
300;4808940;15;48;48453;1
301;4811680;35;48;48061;2
302;4812750;37;48;48467;8
303;4816200;64;48;48205;10
304;4816230;65;48;48113;1
305;4818540;78;48;48139;10
306;4819700;90;48;48439;1
307;4820340;95;48;48113;4
308;4823640;116;48;48201;1
309;4823640;22;48;48201;4
310;4823640;116;48;48201;1
311;4823640;116;48;48201;1
312;4824450;119;48;48139;11
313;4824990;239;48;48029;4
314;4828290;145;48;48061;10
315;4828920;10;48;48439;1
316;4830420;160;48;48293;9
317;4833060;116;48;48201;1
318;4834320;202;48;48201;4
319;4839270;244;48;48167;5
320;4843720;268;48;48463;9
321;4900142;242;49;49035;4
322;4900210;29;49;49011;4
323;4900360;264;49;49035;4
324;4900870;238;49;49035;2
325;5100810;47;51;51550;4
326;5101890;98;51;51087;4
327;5102640;185;51;51700;2
328;5102640;185;51;51700;2
329;5103000;212;51;51740;2
330;5103000;212;51;51740;3
331;5103000;212;51;51740;3
332;5103130;287;51;51153;4
333;5103240;225;51;51760;2
334;5300660;31;53;53035;3
335;5302970;229;53;53063;11
336;5304860;153;53;53061;5
337;5305850;127;53;53067;5
338;5307230;223;53;53033;4
339;5307710;249;53;53033;1
340;5308250;256;53;53063;2
341;5308700;261;53;53053;2
342;5310110;288;53;53077;3
343;5508700;151;55;55075;10
344;5509600;166;55;55079;1
345;5509600;166;55;55079;1
346;5511190;197;55;55139;3
347;5515780;277;55;55133;3
348;5516470;42;55;55111;12
349;0;283;42;42081;3
350;0;139;29;29047;4
351;0;121;28;28049;2
352;0;187;42;42071;13
353;0;212;39;39145;7
354;0;41;28;28079;8
355;0;122;12;12031;1
356;0;89;12;12071;3
357;0;52;39;39061;4
358;0;207;12;12095;4
359;0;232;27;27123;4
360;0;21;26;26025;3
361;0;276;17;17097;13
362;0;123;34;34017;1
363;0;180;9;9009;2
364;0;282;12;12011;4
365;0;180;9;9009;13
366;0;59;39;39049;1
367;0;115;22;22109;3
368;0;178;28;28001;9
369;0;275;11;11001;1
370;0;125;29;29095;1
371;0;177;47;47037;1
372;0;67;25;25009;4
