uid;nces_school_id;white;black;hispanic;asian;american_indian_alaska_native;hawaiian_native_pacific_islander;two_or_more
1;80480000707;1783;16;112;42;12;;
2;220054000422;5;583;0;0;0;;
3;130441001591;1189;136;28;15;1;;
4;421899003847;209;2736;27;170;5;;
5;250279000225;40;755;287;29;5;;
6;350069000240;160;6;583;2;2;;
7;401197000559;239;3;12;0;153;;
8;120153001590;1697;28;96;26;5;;
9;62460009581;82;40;389;222;1;;
10;170993000748;0;736;0;0;0;;
11;280132000190;991;166;25;14;1;;
12;402961001555;527;8;12;2;162;;
13;260450004135;125;261;37;0;1;;
14;401521000713;263;117;11;1;107;;
15;40146000077;178;51;154;8;6;;
16;120150002873;414;560;528;17;6;;
17;530723002564;276;375;73;218;14;;
18;390444101350;149;192;0;0;0;;
19;220117000980;0;685;1;0;0;;
20;62927004519;311;124;2145;134;50;;
21;240009000263;24;2205;2;4;1;;
22;481623021205;3;793;82;0;1;;
23;61623002026;1591;24;174;58;8;;
24;1195358;208;10;5;4;0;;
25;61623002020;2256;67;376;66;50;;
26;180387000637;2;1135;39;3;0;;
27;220108001296;;;;;;;
28;481854001737;692;202;383;2;0;;
29;62271007751;27;98;4679;456;4;;
30;210135000271;441;81;0;1;3;;
31;60003206330;1199;121;518;216;15;;
32;260804000994;126;2;23;0;0;;
33;362058002029;49;1223;949;29;8;;
34;61785002199;125;49;829;58;4;;
35;240051000982;562;706;47;52;4;;
36;340783002776;9;722;208;43;4;;
37;753892;287;4;5;1;0;;
38;440090000232;247;396;831;155;12;;
39;80723001239;539;18;748;112;17;;
40;110003000082;6;530;183;28;2;;
41;220117000928;10;1241;9;0;0;;
42;60003907541;101;7;273;13;0;;
43;422010004597;949;6;5;5;0;;
44;280447000830;388;719;9;5;0;;
45;530825001388;1701;116;64;71;40;;
46;270944000388;813;3;8;7;0;;
47;370090000337;786;240;20;3;0;;
48;61233007702;27;105;91;88;5;;
49;110003000084;0;1084;2;2;2;;
50;360963000731;1390;28;6;31;0;;
51;421899003675;2;445;4;2;0;;
52;62805012992;9;736;631;83;1;;
53;173291003406;44;1506;497;9;10;;
54;180387000649;10;769;11;2;0;;
55;240009001561;6;493;2;0;1;;
56;220117000973;2;381;0;0;0;;
57;A9902648;0;128;0;0;0;;
58;173123003295;336;602;60;14;0;;
59;170993005072;2;167;46;0;0;;
60;470318001337;219;868;21;11;0;;
61;273051001303;0;0;0;0;331;;
62;481275000769;484;16;29;1;3;;
63;422583001736;403;23;10;9;0;;
64;470210000681;594;9;4;2;0;;
65;120048004192;9;110;4;0;0;;
66;170993000851;0;1381;0;0;0;;
67;291191000440;1126;18;7;8;1;;
68;263039006677;16;1128;34;0;0;;
69;470042000117;1429;0;6;5;0;;
70;261200004670;5;1194;0;1;5;;
71;550960001256;14;311;4;35;2;;
72;120171001868;635;158;309;18;1;;
73;510081000299;733;957;53;69;6;;
74;64059009648;1271;233;394;161;27;;
75;482034002033;630;755;674;108;8;;
76;421917000420;1;561;0;0;0;;
77;411071000300;1844;12;111;45;40;;
78;320048000211;502;19;293;40;14;;
79;62271003429;413;336;2173;269;19;;
80;370348001447;776;290;55;6;3;;
81;481970008026;103;242;1053;19;0;;
82;80237000087;424;4;28;7;13;;
83;551647002155;117;2;0;0;0;;
84;0;26;0;0;0;0;;
85;291635002429;591;43;49;7;9;;
86;530870001466;692;535;139;354;29;;
87;390437500382;20;715;0;0;0;;
88;421899003825;1;647;5;1;1;;
89;262382006068;1475;32;26;56;4;;
90;170993000943;2;1993;7;0;1;;
91;410600004183;133;3;17;3;4;;
92;482829010477;18;0;487;0;0;;
93;120087003862;268;1256;202;29;4;;
94;390437804449;22;227;9;0;1;;
95;130102000413;381;997;89;37;3;;
96;370012202591;5;230;8;0;1;;
97;470294001080;4;1577;0;0;0;;
98;1059778;158;3;1;0;4;;
99;470294001122;0;1109;0;1;0;;
100;62271003034;22;610;1490;140;9;;
101;1;;;;;;;
102;61455001762;130;112;2039;444;10;;
103;470222000775;872;254;55;25;4;;
104;120018000169;80;1576;76;6;1;;
105;261200004670;4;913;0;0;2;;
106;61674002125;13;54;252;34;1;;
107;120039007984;11;138;183;0;0;0;3
108;220090000711;405;28;23;15;41;;
109;90003101405;7;89;33;2;0;;
110;510189000805;66;186;13;3;0;;
111;360002101704;736;24;43;8;0;0;0
112;450249000244;1400;309;124;60;25;;
113;220030000208;1;335;0;0;0;;
114;10000800495;707;188;27;50;8;;
115;80480001315;436;7;46;23;4;;
116;510300001255;446;818;22;19;4;;
