uid,nces_school_id,uid_SchoolEthnicity,uid_ShooterIncidentLocation,date,school_year,time,day_of_week,enrollment,killed,injured,casualties,uid_shooting_type,resource_officer,staffing,low_grade,high_grade,lunch
1,80480000707,1,253,4/20/1999,1998-1999,11:19:00,Tuesday,1965,13,21,34,4,1,89.6,9,12,41.0
2,220054000422,2,48,4/22/1999,1998-1999,12:30:00,Thursday,588,0,1,1,8,0,39.0,6,8,495.0
3,130441001591,3,92,5/20/1999,1998-1999,08:03:00,Thursday,1369,0,6,6,4,1,84.0,9,12,125.0
4,421899003847,4,264,1999-04-10 00:00:00,1999-2000,10:00:00,Monday,3147,0,1,1,8,1,41.0,9,12,2007.0
5,250279000225,5,327,1999-03-11 00:00:00,1999-2000,07:40:00,Wednesday,1116,0,1,1,8,0,,9,12,543.0
6,350069000240,6,59,11/19/1999,1999-2000,12:45:00,Friday,753,1,0,1,2,0,44.0,6,7,502.0
7,401197000559,7,163,1999-06-12 00:00:00,1999-2000,07:45:00,Monday,407,0,5,5,4,0,25.4,6,8,146.0
8,120153001590,8,15,1/19/2000,1999-2000,15:00:00,Wednesday,1852,1,0,1,1,1,85.0,9,12,654.0
9,62460009581,9,194,1/26/2000,1999-2000,08:34:00,Wednesday,734,0,0,0,8,0,36.0,KG,5,643.0
10,170993000748,10,323,2/14/2000,1999-2000,,Monday,736,0,1,1,1,0,37.0,PK,6,
11,280132000190,11,135,2/22/2000,1999-2000,,Tuesday,1197,0,0,0,8,0,65.0,9,12,324.0
12,402961001555,12,150,2/24/2000,1999-2000,09:00:00,Thursday,711,0,0,0,8,0,45.5,9,12,184.0
13,260450004135,13,345,2/29/2000,1999-2000,10:00:00,Tuesday,459,1,0,1,8,0,20.0,KG,4,421.0
14,401521000713,14,108,2000-06-04 00:00:00,1999-2000,12:00:00,Thursday,499,0,1,1,8,1,34.7,9,12,236.0
15,40146000077,15,55,2000-10-05 00:00:00,1999-2000,13:30:00,Wednesday,397,1,0,1,8,0,24.5,KG,5,
16,120150002873,16,10,5/26/2000,1999-2000,15:00:00,Friday,1525,1,0,1,8,0,95.0,6,8,1186.0
17,530723002564,17,376,7/17/2000,1999-2000,10:30:00,Monday,956,0,0,0,4,0,42.3,6,8,
18,390444101350,18,236,9/18/2000,2000-2001,,Monday,341,0,0,0,4,1,22.8,7,8,163.0
19,220117000980,19,35,9/26/2000,2000-2001,12:00:00,Tuesday,686,0,1,1,8,0,45.0,6,8,551.0
20,62927004519,20,116,2001-10-01 00:00:00,2000-2001,12:50:00,Wednesday,2764,0,0,0,8,1,110.2,9,12,1169.0
21,240009000263,21,239,1/17/2001,2000-2001,08:45:00,Wednesday,2236,1,0,1,8,0,126.5,PK,12,914.0
22,481623021205,22,74,2001-06-02 00:00:00,2000-2001,,Tuesday,879,0,1,1,8,1,89.3,7,8,607.0
23,61623002026,23,79,2001-05-03 00:00:00,2000-2001,09:20:00,Monday,1894,2,13,15,4,1,79.9,9,12,202.0
24,1195358,24,302,2001-07-03 00:00:00,2000-2001,12:00:00,Wednesday,227,0,1,1,8,0,21.125,7,12,
25,61623002020,25,77,3/22/2001,2000-2001,13:00:00,Thursday,2846,0,5,5,9,1,112.2,9,12,436.0
26,180387000637,26,307,3/30/2001,2000-2001,08:15:00,Friday,1179,1,0,1,8,1,64.0,9,12,446.0
27,220108001296,27,68,4/20/2001,2000-2001,07:20:00,Friday,65,0,0,0,8,0,,,,
28,481854001737,28,61,5/15/2001,2000-2001,12:00:00,Tuesday,1279,0,0,0,3,0,93.7,9,12,447.0
29,62271007751,29,113,7/30/2001,2000-2001,07:20:00,Monday,5264,0,1,1,8,1,194.3,9,12,4046.0
30,210135000271,30,229,2001-12-09 00:00:00,2001-2002,15:00:00,Wednesday,526,1,0,1,8,0,16.8,KG,5,350.0
31,60003206330,31,102,10/26/2001,2001-2002,10:00:00,Friday,2069,0,1,1,1,0,94.4,9,12,465.0
32,260804000994,32,352,2001-12-11 00:00:00,2001-2002,14:40:00,Monday,151,0,0,0,8,0,,9,12,6.0
33,362058002029,33,292,1/15/2002,2001-2002,14:00:00,Tuesday,2258,0,2,2,8,0,97.7,9,12,1831.0
34,62271003034,34,103,2002-06-02 00:00:00,2001-2002,14:50:00,Wednesday,3198,0,2,2,8,0,133.2,9,12,1941.0
35,240051000982,35,227,2002-07-10 00:00:00,2002-2003,08:09:00,Monday,1371,0,1,1,4,0,73.7,7,8,197.0
36,340783002776,36,290,10/29/2002,2002-2003,08:30:00,Tuesday,986,0,1,1,8,1,102.0,9,12,495.0
37,753892,37,235,2002-07-11 00:00:00,2002-2003,12:30:00,Thursday,297,1,1,2,8,0,,KG,8,
38,440090000232,38,320,1/22/2003,2002-2003,,Wednesday,1641,0,0,0,8,0,,9,12,1097.0
39,80723001239,39,260,2003-05-02 00:00:00,2002-2003,08:40:00,Wednesday,1434,0,0,0,8,1,68.0,9,12,524.0
40,110003000082,40,224,2003-01-04 00:00:00,2002-2003,12:15:00,Tuesday,749,0,1,1,8,1,,9,12,427.0
41,220117000928,41,39,4/14/2003,2002-2003,10:30:00,Monday,1260,1,3,4,8,1,63.0,8,12,843.0
42,60003907541,42,195,4/15/2003,2002-2003,08:15:00,Tuesday,394,0,1,1,8,0,18.0,6,8,270.0
43,422010004597,43,261,4/24/2003,2002-2003,07:30:00,Thursday,965,1,0,1,8,1,46.0,7,8,156.0
44,280447000830,44,63,2003-10-09 00:00:00,2003-2004,14:30:00,Wednesday,1121,1,0,1,8,0,63.8,9,12,540.0
45,530825001388,45,379,9/22/2003,2003-2004,11:10:00,Monday,1992,0,0,0,4,0,92.0,9,12,545.0
46,270944000388,46,366,9/24/2003,2003-2004,11:38:00,Wednesday,831,2,0,2,8,0,48.0,8,12,100.0
47,370090000337,47,156,9/25/2003,2003-2004,08:00:00,Thursday,1049,0,0,0,4,1,63.0,6,8,510.0
48,61233007702,48,213,2003-01-10 00:00:00,2003-2004,09:00:00,Wednesday,317,0,2,2,8,0,10.8,9,12,99.0
49,110003000084,49,220,2004-02-02 00:00:00,2003-2004,10:30:00,Monday,1090,1,1,2,8,1,68.0,9,12,897.0
50,360963000731,50,337,2004-09-02 00:00:00,2003-2004,10:30:00,Monday,1455,0,1,1,4,0,,9,12,
51,421899003675,51,269,2004-11-02 00:00:00,2003-2004,08:30:00,Wednesday,453,1,1,2,8,1,26.0,KG,5,450.0
52,62805012992,52,202,2004-09-06 00:00:00,2003-2004,12:22:00,Wednesday,1467,0,2,2,8,0,56.5,9,12,340.0
53,173291003406,53,322,8/30/2004,2004-2005,14:30:00,Monday,2068,1,0,1,8,1,110.0,9,12,637.0
54,180387000649,54,310,9/15/2004,2004-2005,,Wednesday,792,0,0,0,4,0,49.7,9,12,394.0
55,240009001561,55,240,10/21/2004,2004-2005,16:00:00,Thursday,502,0,2,2,8,1,22.0,9,11,296.0
56,220117000973,56,37,2004-12-11 00:00:00,2004-2005,12:00:00,Friday,383,0,1,1,8,1,36.8,8,12,308.0
57,A9902648,57,60,2004-07-12 00:00:00,2004-2005,15:00:00,Tuesday,128,0,1,1,1,0,11.0,PK,8,
58,173123003295,58,289,1/26/2005,2004-2005,,Wednesday,1012,0,0,0,8,0,65.0,9,12,606.0
59,170993005072,59,316,2005-08-02 00:00:00,2004-2005,14:32:00,Tuesday,215,0,1,1,8,0,45.7,11,12,212.0
60,470318001337,60,178,2005-09-03 00:00:00,2004-2005,14:00:00,Wednesday,1119,0,1,1,8,0,63.0,9,12,
61,273051001303,61,381,3/21/2005,2004-2005,14:49:00,Monday,331,7,7,14,4,1,31.1,9,12,295.0
62,481275000769,62,69,2005-07-04 00:00:00,2004-2005,09:20:00,Thursday,533,0,1,1,8,0,39.4,9,12,79.0
63,422583001736,63,278,5/17/2005,2004-2005,15:00:00,Tuesday,445,1,0,1,8,0,24.2,KG,5,35.0
64,470210000681,64,169,8/25/2005,2005-2006,09:30:00,Thursday,609,0,1,1,1,0,34.7,6,8,314.0
65,120048004192,65,40,2005-02-09 00:00:00,2005-2006,12:50:00,Friday,123,0,1,1,8,0,7.0,9,12,62.0
66,170993000851,66,314,9/13/2005,2005-2006,14:20:00,Tuesday,1381,0,1,1,8,1,101.6,7,12,959.0
67,291191000440,67,204,2005-11-10 00:00:00,2005-2006,08:00:00,Tuesday,1160,0,0,0,4,0,68.6,9,12,344.0
68,263039006677,68,350,10/20/2005,2005-2006,12:00:00,Thursday,1178,0,1,1,8,1,58.0,9,12,823.0
69,470042000117,69,180,2005-08-11 00:00:00,2005-2006,14:00:00,Tuesday,1440,1,2,3,9,0,79.4,9,12,851.0
70,261200004670,70,333,2005-06-12 00:00:00,2005-2006,13:30:00,Tuesday,1205,0,1,1,4,0,55.2,8,12,897.0
71,550960001256,71,342,2006-11-01 00:00:00,2005-2006,12:30:00,Wednesday,366,0,1,1,4,0,24.0,PK,7,321.0
72,120171001868,72,19,1/13/2006,2005-2006,09:30:00,Friday,1121,1,0,1,8,1,76.0,6,8,569.0
73,510081000299,73,185,1/18/2006,2005-2006,11:00:00,Wednesday,1836,0,0,0,8,0,126.0,9,12,427.0
74,64059009648,74,211,1/23/2006,2005-2006,09:45:00,Monday,2138,0,1,1,1,0,85.8,9,12,398.0
75,482034002033,75,78,1/27/2006,2005-2006,,Friday,2175,0,2,2,1,0,157.1,9,12,994.0
76,421917000420,76,279,2/21/2006,2005-2006,07:45:00,Tuesday,562,0,1,1,8,1,41.2,9,12,374.0
77,411071000300,77,348,2/23/2006,2005-2006,07:45:00,Thursday,2052,0,1,1,8,1,92.0,8,12,689.0
78,320048000211,78,247,3/14/2006,2005-2006,09:00:00,Tuesday,868,0,2,2,4,0,40.0,7,8,286.0
79,62271003429,79,106,2006-05-06 00:00:00,2005-2006,15:10:00,Monday,3210,1,0,1,8,0,129.2,9,12,2063.0
80,370348001447,80,172,8/30/2006,2006-2007,13:00:00,Wednesday,1150,0,2,2,4,0,66.7,9,12,276.0
81,481970008026,81,71,2006-08-09 00:00:00,2006-2007,13:20:00,Friday,1417,0,1,1,8,1,86.7,9,12,921.0
82,80237000087,82,245,9/27/2006,2006-2007,11:40:00,Wednesday,476,1,0,1,8,0,26.2,9,12,82.0
83,551647002155,83,353,9/29/2006,2006-2007,08:10:00,Friday,119,1,0,1,8,0,10.5,9,12,35.0
84,0,84,267,2006-02-10 00:00:00,2006-2007,11:07:00,Monday,26,5,5,10,8,0,,,,
85,291635002429,85,192,2006-09-10 00:00:00,2006-2007,07:45:00,Monday,699,0,0,0,4,0,50.3,6,8,312.0
