uid,weapon
1, .357-caliber revolver
2, 12-gauge Stevens 311D double-barreled sawed-off shotgun
3, 22-pistol
4, 357-caliber Magnum handgun
5, a Mossburg 12-gauge sawed-off shotgun
6, pistol
7, Ruger 10/22 .22-caliber semi-automatic rifle
8,.22 caliber gun
9,.22 caliber handgun
10,.22 caliber revolver
11,.22 caliber rifle
12,.22-caliber Colt revolver
13,.22-caliber Daisy rifle
14,.22-caliber gun to kill himself
15,.22-caliber handgun
16,.22-caliber Magnum handgun
17,.22-caliber pistol
18,.22-caliber revolver
19,.22-caliber Ruger pistol
20,.22-caliber semi-automatic handgun
21,.25-caliber handgun
22,.270 Winchester rifle with scope
23,.32 caliber semi-automatic pistol
24,.32-caliber handgun
25,.32-caliber semiautomatic handgun
26,.357 Magnum
27,.357 Magnum pistol
28,.357-caliber magnum revolver
29,.357-caliber revolver
30,.38 caliber handgun
31,.38 semiautomatic handgun
32,.380 caliber semi-automatic handgun
33,.380 caliber semi-automatic pistol
34,.380 pistol
35,.380 semi-automatic handgun
36,.380-caliber handgun
37,.380-caliber pistol
38,.380-caliber semi-automatic
39,.380-caliber semiautomatic handgun
40,.380-caliber semiautomatic pistol
41,.380-caliber Sig Sauer pistol
42,.38-caliber handgun
43,.38-caliber pistol
44,.38-caliber revolver
45,.38-caliber Smith & Wesson
46,.38-caliber snub-nosed revolver
47,.40 caliber Glock
48,.40 caliber Glock 23 pistol
49,.40 caliber pistol
50,".40 S&W caliber Glock 22 pistol, Smith & Wesson"
51,.40-caliber Beretta Px4 Storm handgun
52,.40-caliber handgun
53,.40-caliber Ruger semiautomatic pistol
54,.44 caliber handgun
55,.45 caliber 1911 pistol
56,.45 caliber gun
57,.45 caliber handgun
58,.45 caliber pistol
59,.45-caliber semi-automatic handgun
60,".762-caliber AK-47-style weapon, manufactured by Romarm/Cugar"
61,12-gauge Savage-Springfield 67H pump-action shotgun
62,12-gauge shotgun
63,12-gauge Winchester shotgun
64,20-gauge shotgun
65,22-caliber rifle
66,22-caliber semi-automatic
67,25-caliber nickel plate semi-automatic
68,30.06 rifle
69,380-caliber handgun
70,870 12 gauge pump-action shotgun
71,9 millimeter semiautomatic pistol
72,9 mm rifle
73,9 mm semiautomatic handgun
74,9 mm semi-automatic Ruger
75,9_19mm Intratec TEC-9 semi-automatic handgun
76,9-mm Beretta handgun
77,9mm Beretta pistol
78,9mm Glock
79,9mm gun (type unknown)
80,9mm handgun
81,9-mm. semi-automatic handgun
82,AK pistol
83,AK-47
84,AK-47 assault-style rifle
85,AR-15
86,assault weapon
87,Beretta M9 9mm semi-automatic pistol
88,Browning .380-caliber pistol
89,Bushmaster XM-15 rifle
90,Bushmaster XM15-E2S rifle
91,carbine rifle
92,Charter Arms .44 Bulldog revolver
93,ghost gun
94,Glock
95,Glock .40-caliber S&W pistol
96,Glock 21 .45-caliber handgun
97,Glock 21 .45-caliber semi-automatic pistol
98,Glock 45 handgun
99,Glock semi-automatic handgun
100,handgun
101,handmade AR-15-type rifle
102,high-powered rifle
103,Hi-Point 995 Carbine 9 mm carbine
104,hunting rifle
105,large-caliber handgun with hollow-point bullets
106,Loaded handgun
107,long-barrel shotgun
108,Lorcin .380-caliber semiautomatic pistol
109,M4 AR-15 rifle
110,MAC 90 7.26 mm assault rifle
111,Mossberg Model 500 12 gauge shotgun
112,Mossberg pump-action 12-gauge shotgun
113,
114,officer weapons
115,Remington 870 shotgun
116,revolver
117,RG .25-caliber pistol
118,rifle
119,Ruger MK III .22 caliber semi-automatic handgun
120,Ruger SR9C semi-automatic handgun (9mm)
121,Savage Arms Stevens Model 320 pump-action shotgun
122,semi-automatic .380 caliber handgun
123,semi-automatic handgun
124,semiautomatic pistol
125,service pistol
126,service weapon
127,shotgun
128,Sig Sauer .40 caliber handgun
129,Sig Sauer P238
130,single-shot shotgun
131,small revolver
132,small semi-automatic handgun
133,small-caliber
134,small-caliber handgun
135,small-caliber pistol
136,small-caliber semiautomatic handgun
137,Smith & Wesson .357 Magnum revolver
138,Smith & Wesson M&P15
139,Smith and Wesson .40 caliber gun
140,Smith and Wesson M&P .45 caliber handgun
141,sniper rifle
142,Taurus .380 pistol
143,Taurus 9mm pistol
144,Taurus Revolver
145,Walther P1 9mm semiautomatic handgun
146,Smith & Wesson .357-caliber revolver
147,Ruger 10/22 .22-caliber semi-automatic rifle
148,pistol
149,Mossburg 12-gauge sawed-off shotgun
150,manufactured by Romarm/Cugar
151,357-caliber Magnum handgun
152,12-gauge Stevens 311D double-barreled sawed-off shotgun
